No	X11	X12	X21	X22	X31	X32	X41	X42	X51	X52	Y11	Y12	Y21	Y22	Y23	Y31	Y32	Y41	Y42	Z11	Z12	Z21	Z22				
1	2	4	4	3	3	4	4	3	3	5	3	4	4	4	3	3	4	4	2	2	3	4	4				
2	4	5	4	3	4	2	5	5	5	4	4	4	4	4	4	5	5	3	4	5	4	4	5				
3	3	4	4	4	4	4	3	3	3	3	4	4	4	4	4	4	4	4	4	2	4	4	4				
4	3	4	4	3	3	4	4	4	4	2	4	5	4	4	4	4	4	2	2	2	3	3	3				
5	3	4	3	4	3	3	5	4	3	4	3	3	5	4	4	3	3	3	3	3	4	4	4				
6	4	4	4	3	3	4	4	4	4	4	4	4	3	4	4	4	3	4	3	4	4	3	4				
7	3	3	5	5	3	3	3	2	3	4	5	4	4	4	3	3	1	5	5	4	4	3	3				
8	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	2	5	2	3				
9	5	4	4	2	4	3	4	3	5	4	5	5	5	3	5	5	4	5	4	5	4	3	5				
10	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4				
11	5	4	4	4	5	5	4	4	5	4	5	4	4	4	4	3	4	3	3	4	4	5	3				
12	4	5	4	3	4	4	4	4	4	5	4	5	4	4	2	5	4	4	4	2	4	4	4				
13	4	5	4	5	3	4	4	4	5	5	4	4	5	5	5	3	3	3	3	4	4	5	4				
14	5	5	4	3	3	4	4	5	3	4	4	4	4	4	4	4	3	4	4	2	3	4	4				
15	5	5	5	5	3	3	3	3	4	4	4	4	3	4	4	5	4	4	4	3	4	5	5				
16	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	2	5	5	5				
17	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	2	5	5	5				
18	3	3	3	3	3	3	4	4	3	3	4	4	3	3	3	4	4	3	3	4	4	3	3				
19	4	4	4	4	4	4	4	4	4	4	5	5	5	5	5	5	5	5	5	3	5	5	5				
20	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	2	5	5	5				
21	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	4	4				
22	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	4	4				
23	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5				
24	4	4	4	4	4	4	4	4	5	5	5	5	4	4	4	5	5	5	5	1	1	5	5				
25	5	5	4	4	5	5	4	5	5	5	5	5	3	3	3	5	5	4	4	1	2	5	5				
26	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5				
27	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	2	5	5	5				
28	5	5	4	4	4	4	4	4	5	5	4	4	5	5	5	4	4	3	4	1	1	5	5				
29	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	2	5	5	5				
30	5	5	4	4	5	5	4	4	3	5	4	4	3	5	5	4	4	3	5	1	1	5	5				
31	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5				
32	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	2	5	5	5				
33	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	2	5	5	5				
